SubBank	QuestionText	QuestionType	Choice1	Choice2	Choice3	Choice4	Choice5	Grade1	Grade2	Grade3	Grade4	Grade5
JSP - Custom Tags-Application	"Carefully read the question and answer accordingly.
Which of the following used by container to validate a custom tag in a JSP page?"	MCQ	web.xml	Xerces	Xmlspy	Tag Library Descriptor		0	0	0	1	
JSP - Custom Tags-Application	"Carefully read the question and answer accordingly.
<pref:tag1>
  <%= result %>
 </pref:tag1>
 Which of the following are valid for the <body-content> tag of tag1?"	MCQ	JSP	empty	scriptless	tag dependant		1	0	0	0	
JSP - Custom Tags-Application	"Carefully read the question and answer accordingly.
How do you declare a tag library within a JSP page to use custom tags?"	MCQ	By using scriptlet.	By using taglib directive.	By using unique variable.	By using path to the tag handler.		0	1	0	0	
Servlets - Filtering-Knowledge	"Carefully read the question and answer accordingly.
Mention some of the important functions of Servlet Filter. 
1.Security Checks
2.allowing all the users
3.Modifying the request or response"	MCQ	1&2	1&3	2&3	2		0	1	0	0	
Servlets - Filtering-Knowledge	"Carefully read the question and answer accordingly.
A filter configuration object used by a servlet container to pass information to a filter during initialization.
State True or False."	MCQ	TRUE	FALSE				1	0			
Servlets - Filtering-Knowledge	"Carefully read the question and answer accordingly.
Filters can create responses by themselves.
State True or False."	MCQ	FALSE	TRUE				1	0			
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
What will be the output for following code?
class Super
{
 static void show()
 {
 System.out.println(""super class show method"");
 }
 static class StaticMethods 
 {
 void show()
 {
 System.out.println(""sub class show method"");
 }
 }
 public static void main(String[]args)
 {
 Super.show();
 new Super.StaticMethods().show();
 }
}"	MCQ	super class show method sub class show method	super class show method	sub class show method super class show method	Compilation Error		1	0	0	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
When one method is overridden in sub class the access specifier of the method in sub class should be equal as method in super class.
State True or False."	MCQ	FALSE	TRUE				1	0			
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
A class can be declared as _______ if you do not want the class to be subclassed. Using
the __________keyword we can abstract a class from its implementation"	MCQ	protected ,interface	final,interface	public,friend	final,protected	private,abstract	0	1	0	0	0
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
The constructor of a class must not have a return type."	MCQ	TRUE	FALSE				0	1			
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
Which of the following are true about constructors?"	MCQ	Constructors can be overloaded	Constructors can be overridden.	Constructor is a special type of method which may have return type.	Constructors should be called explicitly like methods		1	0	0	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
A field with default access specifier can be accessed  out side the package. 
State True or False."	MCQ	FALSE	TRUE				1	0			
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
________ determines which member of a class can be used by other classes."	MCQ	specifier	Inheritance	Implementation	Access specifier	Class	0	0	0	1	0
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
Which of the following statements are true about Method Overriding?
I:  Signature must be same including return type
II: If the super class method is throwing the exception then overriding method should throw the same Exception
III: Overriding can be done in same class
IV: Overriding should be done in two different classes with no relation between the classes"	MCQ	I	II & IV	III	I & III		1	0	0	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
If display method in super class has a protected specifier then what should be the specifier for the overriding display method in sub class?"	MCQ	protected or default	protected or public	None of the listed options	private		0	1	0	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
What will be the output for following code?
class Super
{
 int num=20;
 public void display()
 {
 System.out.println(""super class method"");
 }
}
public class ThisUse extends Super
{
 int num;
 public ThisUse(int num)
 {
 this.num=num;
 }
 public void display()
 {
 System.out.println(""display method"");
 }
 public void Show()
 {
 this.display();
 display();
 System.out.println(this.num);
 System.out.println(num);
 }
 public static void main(String[]args)
 {
 ThisUse o=new ThisUse(10);
 o.Show();
 }
}"	MCQ	super class method display method 20 20	display method display method 10 10	display method display method 20 20	super class method display method 10 10		0	1	0	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
What will be the output of following code?
class Super2
{
 public void display()
 {
System.out.println(""super class display method"");
 }
 public void exe()
 {
 System.out.println(""super class exe method"");
 display();
 }
}
public class InheritMethod extends Super2
{
 public void display()
 {
 
System.out.println(""sub class display method"");
 }
 
public static void main(String [] args)
 {
 
InheritMethod o=new InheritMethod();
 
 o.exe();
 }
 
}"	MCQ	super class exe method sub class display method	super class exe method super class display method	Compilation error	None of the listed options		1	0	0	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
Which of the following method is used to initialize the instance variable of a class."	MCQ	Class	Public	Constructor	Destructor	Variable	0	0	1	0	0
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
Which of the following are true about protected access specifier?"	MCQ	If one class is having protected method then the method is available for subclass which is present in another package	A class can be declared as protected.	All members of abstract class are by default protected	Protected is default access modifier of a child class		1	0	0	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
What will be the output for following code?
public class Variables
{
 public static void main(String[]args)
 {
  public int i=10;
  System.out.println(i++);
 }
}"	MCQ	10	11	Compilation error	None of the listed options		0	0	1	0	
CoreJava-Access Specifiers_Constructors_Methods-Knowledge	"Carefully read the question and answer accordingly.
Constructor of an class is executed each time when an object of that class is created"	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
Which of the following correctly fits for the definition 'holding instances of other objects'?"	MCQ	Aggregation	Composition	Generic	Polymorphic		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
public abstract class Shape 
{
  private int x;
  private int y;
  public abstract void draw();
  public void setAnchor(int x, int y) 
  {
   this.x = x;
   this.y = y;
  }
 }
Which two classes use the Shape class correctly? 
1.public class Circle implements Shape {
private int radius;
}
2.public abstract class Circle extends Shape {
private int radius;
}
3.public class Circle extends Shape {
private int radius;
public void draw();
}
4.public class Circle extends Shape {
private int radius;
public void draw() {/* code here */}
}"	MCQ	1&2	1&3	2&3	3&4	2&4	0	0	0	0	1
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
If any method overrides one of it’s super class methods, we can invoke the overridden method through the this keyword."	MCQ	TRUE	FALSE				0	1			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
What will be the output for following code?
class super3{
int i=10;
public super3(int num){
i=num;
}
}
public class Inherite1 extends super3{
 public Inherite1(int a){
super(a);
}
 public void Exe(){
System.out.println(i);
}
public static void main(String[]args){
 Inherite1 o=new Inherite1(50);
super3 s=new Inherite1(20);
 System.out.println(s.i);
o.Exe();
}
}"	MCQ	10 50	20 50	20 10	10 20		0	1	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
An abstract class cannot contain non abstract methods"	MCQ	TRUE	FALSE				0	1			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
What is the outputof below code:
package p1;
class Parent {
 public static void doWork() {
 System.out.println(""Parent"");
 }
}
class Child extends Parent {
 public static void doWork() {
 System.out.println(""Child"");
 }
}
class Test {
 public static void main(String[] args) {
 Child.doWork();
 }
}"	MCQ	Child Parent	Parent	Child	Parent Child		0	0	1	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
interface A
{
 public abstract void aM1();
 public abstract void aM2();
}
interface B extends A
{
 public void bM1();
 public void bM2();
}
public class Demo extends Object implements B
{
}
In above scenario class Demo must override which methods?"	MCQ	public void aM1(){} public void aM2(){}	public void bM1(){} public void bM2(){}	public void aM1(){} public void aM2(){} public void bM1(){} public void bM2(){}	public void aM1(){} public void bM2(){}		0	0	1	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
The below code will compile &   provide desired output:
package p1;
interface Bounceable {
 void bounce();
 void setBounceFactor(int bf);
 private class BusinessLogic
 {
  int var1;
  float var2;
  double result(int var1,float var2){
   return var1*var2;
  }
 }
}
class Test {
 public static void main(String[] args) {
  System.out.println(new Bounceable.BusinessLogic().result(12,12345.22F));
 }
}"	MCQ	TRUE	FALSE				0	1			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
Choose the correct option.
Statement I: When an abstract class is sub classed, the subclass should provide the implementation for all the abstract methods in its parent class.
Statement II: If the subclass does not implement the abstract method in its parent class, then the subclass must also be declared abstract."	MCQ	Statement I & II are TRUE	Statement I is TRUE & II is FALSE	Statement I is FALSE & II is TRUE	Statement I & II are FASLE		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
Choose the correct option.
Statement I: A subclass inherits all of the “public” and “protected” members of its parent, no matter what package the subclass is in.
Statement II: If the subclass of any class is in the same package then it inherits the default access members of the parent."	MCQ	Statement I & II are TRUE	Statement I is TRUE & II is FALSE	Statement I is FALSE & II is TRUE	Statement I & II are FASLE		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
The below code will compile &   provide desired output:
package p1;
class Parent {
 private int doWork(){
  System.out.println(""Do Work - Parent"");
  return 0;
 }
}
class Child extends Parent {
 public void doWork(){
  System.out.println(""Do Work - Child"");
 }
}
class Test{
 public static void main(String[] args) {
  new Child().doWork();
 }
}"	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
If any class has at least one abstract method you must declare it as abstract class"	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
public interface Status 
{
/* insert code here */ int MY_VALUE = 10;
}
Which are valid on commented line?
1.final
2.static
3.native
4.public"	MCQ	1&2	1&2&3	2&3	1&2&4	2&4	0	0	0	1	0
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
Choose the correct option.
Statement I: When all methods in a class are abstract the class can be declared as an interface.
Choose the correct option.
Statement II: An interface defines a contract for classes to implement the behavior."	MCQ	Statement I & II are TRUE	Statement I is TRUE & II is FALSE	Statement I is FALSE & II is TRUE	Statement I & II are FASLE		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
abstract class Vehicle 
{
 public int speed() 
 {
  return 0; 
 }
}
class Car extends Vehicle 
{
 public int speed() 
 {
  return 60; 
 }
}
class RaceCar extends Car 
{ 
 public int speed() 
 {
  return 120; 
 }
}
public class Demo
{
 public static void main(String [] args)
 {
  RaceCar racer = new RaceCar();
  Car car = new RaceCar();
  Vehicle vehicle = new RaceCar();
  System.out.println(racer.speed() + "", "" + car.speed()+"", "" + vehicle.speed());
 }
}
What is the result?"	MCQ	0, 0, 0	120, 60, 0	60,60,60	120, 120, 120		0	0	0	1	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
What will be the output for following code
public class
MethodOverloading {
int m=10,n;
public void div(int a) throws Exception{
n=m/a;
System.out.println(n);
}
public void div(int a,int b) {
n=a/b;
}
public static void main(String[]args) throws Exception{
MethodOverloading o=new MethodOverloading();
o.div(0);
o.div(10,2);
}
}"	MCQ	It will print ArithmeticException and prints 5	It will give ArithmeticException	It will print 5	None of the listed options		0	1	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
The below code will compile &   provide desired output:
package p1;
abstract class LivingThings{
 public abstract void resperate();
 interface Living
 {
  public abstract void walk();
 }
}
class Human implements LivingThings.Living{
 @Override
 public void walk() {
  System.out.println(""Human Can Walk"");
 }
}
class Test {
 public static void main(String[] args) {
  new Human().walk();
 }
}"	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
An overriding method can also return a subtype of the type returned by the overridden method."	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
abstract public class Employee 
{
 protected abstract double getSalesAmount();
 public double getCommision() {
 return getSalesAmount() * 0.15;
 }
}
class Sales extends Employee 
{
// insert method here
}
Which two methods, inserted independently, correctly complete the Sales
class?
1.double getSalesAmount() { return 1230.45; }
2. public double getSalesAmount() { return 1230.45; }
3.private double getSalesAmount() { return 1230.45; }
4.protected double getSalesAmount() { return 1230.45; }"	MCQ	1&2	1&3	2&3	3&4	2&4	0	0	0	0	1
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
The below code will compile &   provide desired output:
package p1;
interface A {
 public abstract void methodOne();
}
interface B extends A {
 public abstract void methodTwo();
}
class C implements B{
 @Override
 public void methodTwo() {
  System.out.println(""Method Two Body"");
 }
}
class Test {
 public static void main(String[] args) {
  new C().methodTwo();
 }
}"	MCQ	TRUE	FALSE				0	1			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
interface B
{
 public void bM1();
 public void bM2();
}
abstract class A implements B
{
 public abstract void aM1();
 public abstract void aM2();
 public void bM1(){}
}
public class Demo extends A
{
}
In above scenario class Demo must override which methods?"	MCQ	public void aM2(){}	public void aM1(){}	public void bM2(){}	All of the listed options		0	0	0	1	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
Interface can be used when common functionalities have to be implemented differently across multiple classes."	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
The below code will compile &   provide desired output:
package p1;
interface A {
 public abstract void methodOne();
}
interface B{
 public abstract void methodTwo();
}
interface C{
 public abstract void methodTwo();
}
class D implements B,C,A{
 public  void methodOne(){}
 public  void methodTwo(){ System.out.println(""Method Two"");}
}
class Test {
 public static void main(String[] args) {
  new D().methodTwo();
 }
}"	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
public class Person 
{
 private String name;
 public Person(String name) { this.name = name; }
 public boolean equals(Person p) 
 {
  return p.name.equals(this.name);
 }
}
Which statement is true?"	MCQ	The equals method does NOT properly override the Object class's equals method.	Compilation fails because the private attribute p.name cannot be accessed.	This class must also implement the hashCode method as well.	The code will compile as Object class's equals method is overridden.		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
Which of the following keywords ensures that a method cannot be overridden?"	MCQ	final	protected	static	abstract		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
What is the outputof below code:
package p1;
abstract class LivingThings{
 public abstract int walk();
}
class Human extends LivingThings{
 @Override
 public void walk() {
  System.out.println(""Human Can Walk"");
 }
}
class Test {
 public static void main(String[] args) {
  new Human().walk();
 }
}"	MCQ	Human Can Walk	Compilation Error	Runtime Exception	No Output will be displayed		0	1	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
What will be the output of following code?
class InterfaceDemo
{
 public static void main(String [] args)
 {
 new DigiCam(){}.doCharge();
 new DigiCam(){
 public void writeData (String msg) 
 {
 System.out.println(""You are Sending: ""+msg); 
 }
 }.writeData(""MyFamily.jpg"");
 }//main
}
interface USB
{
 int readData();
 void writeData(String input);
 void doCharge();
}
abstract class DigiCam implements USB
{
 public int readData(){ return 0;}
 public void writeData(String input){}
 public void doCharge()
 {
 System.out.println(""DigiCam do Charge"");
 }
}"	MCQ	DigiCam do Charge You are Sending: MyFamily.jpg	Compilation Error	DigiCam do Charge	Runtime Error		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
What is the output of below code:
package p1;
public class Test {
 public static void main(String[] args) {
  Test t1 = new Test();
  Test t2 = new Test();
  if (!t1.equals(t2))
   System.out.println(""they're not equal"");
  if (t1 instanceof Object)
   System.out.println(""t1's an Object"");
 }
}"	MCQ	they're not equal	t1's an Object	they're not equal t1's an Object	No Output Will be Displayed		0	0	1	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
A concrete class can extend more than one super class whether that super class is either concrete or abstract class"	MCQ	TRUE	FALSE				0	1			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
public class Client1
{
 public static void main(String [] args)
 {
 PenDrive p;
 PenDrive.Vendor v1=new PenDrive.Vendor(""WD"",500);
 System.out.println(v1.getName());
 System.out.println(v1.getPrice());
 }
}
class PenDrive
{
 static class Vendor
 {
 String name; 
 int price;
 public String getName(){ return name;}
 public int getPrice(){ return price;}
 
 Vendor(String name,int price) 
 {
 this.name=name; 
 this.price=price;
 }
 }
}
What will be the output of the given code?"	MCQ	Class cannot be defined inside another class	Runtime Error.	WD 500	Compile Error.		0	0	1	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
The super() call can only be used in constructor calls and not method calls."	MCQ	TRUE	FALSE				1	0			
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
Abstract classes can be used when
Statement I: Some implemented functionalities are common between classes
Statement II: Some functionalities need to be implemented in sub classes that extends the abstract class"	MCQ	Statement I & II are TRUE	Statement I is TRUE & II is FALSE	Statement I is FALSE & II is TRUE	Statement I & II are FASLE		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
class InterfaceDemo
{
 public static void main(String [] args)
 {
  DigiCam cam1=new DigiCam();
  cam1.doCharge();
 }//main
}
interface USB
{
 int readData();
 boolean writeData(String input);
 void doCharge();
}
class DigiCam implements USB
{
 public int readData(){ return 0;}
 public boolean writeData(String input){ return false; }
 void doCharge(){ return;}
}
Which of the following is correct with respect to given code?"	MCQ	Code will not compile due to weaker access privilege.	Code will Compile without any Error	Code will compile but wont print any message	Runtime Exception		1	0	0	0	
CoreJava-Inheritance, Interfaces & Abstract Classes-Application	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
Object class provides a method named getClass() which returns runtime class of an object."	MCQ	TRUE	FALSE				1	0			
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
What will be the output for following code?
public class VariableDec1
{
 public static void main(String[]args)
 {
  int I=32;
  char c=65;
  char a=c+I;
  System.out.println(a);
 }
}"	MCQ	97	a	compilation error	None of the listed options		0	0	1	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Which of the following code snippets make objects eligible for Garbage Collection? 
Statement A: String s = ""new string""; s = s.replace('e', '3');
Statement B:String replaceable = ""replaceable""; StringBuffer sb = new StringBuffer(replaceable);replaceable = null; sb = null;"	MCQ	Both Statements A and B	Statement A alone	Statement B alone	Neither Statements A nor B		1	0	0	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Members of the classs are accessed by _________ operator"	MCQ	address	dot	scope resolution	none of these		0	1	0	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is the correct syntax for suggesting that the JVM to performs garbage collection?"	MCQ	System.free();	System.setGarbageCollection();	System.out.gc();	System.gc();		0	0	0	1	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
What will be the output for following code?
public class VariableDec 
{
 public static void main(String[]args)
 {
  int x = 1;
  if(x>0 )
   x = 3;
  switch(x) 
  {
   case 1: System.out.println(1);
   case 0: System.out.println(0);
   case 2: System.out.println(2);
   break;
   case 3: System.out.println(3);
   default: System.out.println(4);
   break;
  }
 }
}"	MCQ	1 0 2	3 4	4	Compilation error		0	1	0	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
_____________ Operator is used to create an object."	MCQ	class	new	print	main	Object	0	1	0	0	0
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is not the Java keyword?"	MCQ	extends	implements	throwed	Integer	Boolean	0	0	1	0	0
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Find the keyword(s) which is not used to implement exception"	MCA	try	catch	finally	access	exception	0	0	0	0.5	0.5
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
The ++ operator  postfix and prefix has the same effect"	MCQ	TRUE	FALSE				0	1			
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
What will be the output for following code?
public class Operators 
{
 public static void main(String[]args)
 {
  int i=12;
  int j=13;
  int k=++i-j--;
  System.out.println(i);
  System.out.println(j);
  System.out.println(k);
 }
}"	MCQ	12,12,-1	13,12,0	13,13,0	12,13,-1		0	1	0	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
What will be the output for following code?
public class Variabledec {
public static void main(String[]args){
boolean x = true;
int a;
if(x) a = x ? 2: 1;
else a = x ? 3: 4;
System.out.println(a);
}
}"	MCQ	1	3	4	2		0	0	0	1	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
What is the correct structure of a java program?
I: import statement 
II: class declaration 
III: package statement 
IV: method,variable declarations"	MCQ	III->I->II->IV.	I->III->II->IV	I->III->IV->II	I->II->III->IV		1	0	0	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Garbage collector thread is a  daemon thread.
State True or False."	MCQ	TRUE	FALSE				1	0			
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Garbage collection guarantee that a program will not run out of memory. State True or False."	MCQ	FALSE	TRUE				1	0			
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
Statement A:finalize will always run before an object is garbage collected
Statement B:finalize method will be called only once by the garbage collector
which of the following is true?"	MCQ	Both Statements A and B are true	Statement A is true and Statement B is false	Statement A is false and Statement B is true	Both Statements A and B are false		1	0	0	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
After which line the object initially referred by str (""Hello"" String object) is eligible for garbage collection?
class Garbage{
public static void main(string[]args){
line 1:String str=new String(""Hello"");
line 2. String str1=str;
line 3.str=new String(""Hi"");
line 4.str1=new String(""Hello Again"");
5.return;
}
}"	MCQ	line 3	line 4	line 5	line 1		0	1	0	0	
CoreJava-Keywords_Variables_Operators_Datatypes and Garbage Collection-Knowledge	"Carefully read the question and answer accordingly.
How can you force garbage collection of an object?
1.Garbage collection cannot be forced
2.Call System.gc(). 
3.Call Runtime.gc().
4. Set all references to the object to new values(null, for example)."	MCQ	Option 2	Option 3	Option 1	Option 4		0	0	1	0	
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
Which of the below is invalid state of thread?"	MCQ	Runnable	Running	Dead	Blocked	Stop	0	0	0	0	1
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
Predict the output of below code:
package p1;
class MyThread extends Thread {
 public void run(int a) {
  System.out.println(""Important job running in MyThread"");
 }
 public void run(String s) {
  System.out.println(""String in run"");
 }
}
class Test {
 public static void main(String[] args) {
  MyThread t1=new MyThread();
  t1.start();
 }
}"	MCQ	Compile Error	Important job running in MyThread	String in run	Important job running in MyThread String in run	No Output	0	0	0	0	1
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
Which of these is not a benefit of Multithreading?"	MCQ	Reduce response time of process.	Support parallel operation of functions.	Increase system efficiency.	Requires less overheads compared to multitasking.	None of the options.	0	0	0	0	1
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
You have created a TimeOut class as an extension of Thread, the purpose of which is to print a “Time’s Over” message if the Thread is not interrupted within 10 seconds of being started. Here is the run method that you have coded:
public void run() {
System.out.println(“Start!”);
try {
Thread.sleep(10000);
System.out.println(“Time’s Over!”);
} catch (InterruptedException e) {
System.out.println(“Interrupted!”);
}
}Given that a program creates and starts a TimeOut object, which of the following statements is true?"	MCQ	Exactly 10 seconds after the start method is called, “Time’s Over!” will be printed.	Exactly 10 seconds after the “Start!” is printed, “Time’s Over!” will be printed.	The delay between “Start!” being printed and “Time’s Over!” will be 10 seconds plus or minus one tick of the system clock.	If “Time’s Over!” is printed, you can be sure that at least 10 seconds have elapsed since “Start!” was printed.		0	0	0	1	
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
Synchronization is achieved by using which of the below methods"	MCA	Synchronized blocks	Synchronized methods	Synchronized classes	Synchronized abstract classes	Synchronized interfaces	0.5	0.5	0	0	0
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
The below code will compile &   provide desired output:
package p1;
class MyThread extends Thread {
 public void run() {
  System.out.println(""Important job running in MyThread"");
 }
 public void run(String s) {
  System.out.println(""String in run is "" + s);
 }
}
class Test {
 public static void main(String[] args) {
  MyThread t1=new MyThread();
  t1.start();
 }
}"	MCQ	TRUE	FALSE				1	0			
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
What will be the output of below code:
package p1;
class MyThread extends Thread {
 public void run() {
  System.out.println(""Important job running in MyThread"");
 }
}
class Test {
 public static void main(String[] args) {
  MyThread t1=new MyThread();
  t1.run();
 }
}"	MCQ	Compile Error	Important job running in MyThread	Runtime Exception	Non of the options		0	1	0	0	
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
 public class Threads 
{
 public static void main (String[] args) 
 {
  new Threads().go();
 }
 public void go()
 {
  Runnable r = new Runnable()
   {
   public void run() 
   {
   System.out.print(""Run"");
    }
  };
  
  Thread t = new Thread(r);
   t.start();
   t.start();
  }
}
What will be the result?"	MCQ	An exception is thrown at runtime.	The code executes normally and prints "Run".	The code executes normally, but nothing is printed.	Compilation fails.		1	0	0	0	
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
Inter thread communication is achieved using which of the below methods?"	MCQ	wait()	notify()	notifyAll()	all the options		0	0	0	1	
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
Which of these is not valid method in Thread class"	MCQ	void run()	void start()	boolean getPriority()	boolean isAlive()		0	0	1	0	
CoreJava-Threads-Knowledge	"Carefully read the question and answer accordingly.
State whether TRUE or FALSE.
Threads are small process which run in shared memory space within a process."	MCQ	TRUE	FALSE				1	0			
